Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Keyliane Abdallah;fr FRA;AT;Marseille;18-281;2006;0.0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;Matchs
;Yunis Abdelhamid;ma MAR;DF;Saint-Étienne;37-105;1987;10.4;484;442;40;20;0;0;0;1;0;0;0;0;421;2;1;Matchs
;Himad Abdelli;dz ALG;MT,AT;Angers;25-055;1999;15.8;906;838;65;26;14;6;31;10;8;4;2;0;733;3;16;Matchs
;Mohamed Abdelmoneim;eg EGY;DF;Nice;25-345;1999;6.8;328;309;19;15;0;6;0;2;0;0;0;0;287;0;1;Matchs
;Ali Abdi;tn TUN;DF,MT;Nice;31-022;1993;6.5;280;223;54;5;0;2;17;49;0;0;0;0;202;3;7;Matchs
;Matthis Abline;fr FRA;AT;Nantes;21-289;2003;14.6;259;241;17;0;1;3;16;1;0;0;0;0;188;1;13;Matchs
;Abner;br BRA;DF;Lyon;24-229;2000;8.3;446;372;72;7;1;1;22;59;6;6;0;0;367;2;13;Matchs
;Zakaria Aboukhlal;ma MAR;MT,AT;Toulouse;24-328;2000;13.9;243;232;9;0;0;0;24;4;3;2;0;0;152;2;9;Matchs
;Akor Adams;ng NGA;AT;Montpellier;24-348;2000;10.9;157;141;15;0;1;2;4;0;0;0;0;0;100;1;7;Matchs
;Martin Adeline;fr FRA;MT;Reims;21-040;2003;0.3;10;10;0;0;0;0;0;0;0;0;0;0;8;0;0;Matchs
;Adryelson;br BRA;DF;Lyon;26-294;1998;0.0;3;3;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Emmanuel Agbadou;ci CIV;DF;Reims;27-208;1997;14.0;922;842;77;37;3;22;1;4;0;0;0;0;810;3;4;Matchs
;Ruben Aguilar;fr FRA;DF;Lens;31-260;1993;3.0;205;164;41;3;0;1;9;38;0;0;0;0;165;0;8;Matchs
;Jean-Eudes Aholou;ci CIV;MT;Angers;30-297;1994;13.0;473;465;6;6;0;2;2;0;0;0;0;0;401;2;7;Matchs
;Ayman Aiki;fr FRA;AT,MT;Saint-Étienne;19-200;2005;1.4;29;29;0;0;0;0;1;0;0;0;0;0;17;0;1;Matchs
;Ludovic Ajorque;fr FRA;AT;Brest;30-321;1994;11.6;290;285;3;0;0;5;2;1;0;0;0;0;205;2;8;Matchs
;Ümit Akdag;ro ROU;DF;Toulouse;21-097;2003;2.5;149;131;18;3;0;0;1;15;0;0;0;0;111;0;4;Matchs
;Sergio Akieme;es ESP;DF;Reims;27-026;1997;12.8;491;402;85;10;0;0;40;73;2;2;0;0;385;4;9;Matchs
;Maghnes Akliouche;fr FRA;AT,MT;Monaco;22-321;2002;11.6;544;520;21;9;4;4;29;7;5;1;1;0;425;3;23;Matchs
;Clément Akpa;ci CIV;DF;Auxerre;23-048;2001;13.8;599;533;64;25;0;18;22;37;1;1;0;0;466;2;13;Matchs
;Mohamed Ali Cho;fr FRA;AT,MT;Nice;20-358;2004;8.8;239;219;18;2;6;1;27;0;9;4;4;0;163;2;12;Matchs
;Jim Allevinah;ga GAB;AT;Angers;29-319;1995;9.0;217;216;1;0;0;1;14;0;1;0;1;0;162;0;9;Matchs
;Jordan Amavi;fr FRA;DF;Brest;30-308;1994;8.3;503;410;91;8;0;2;14;83;0;0;0;0;368;2;13;Matchs
;Kelvin Amian;fr FRA;DF,MT;Nantes;26-338;1998;11.9;453;336;117;2;2;0;20;115;0;0;0;0;373;0;14;Matchs
;Michael Amir Murillo;pa PAN;DF;Marseille;28-335;1996;13.8;922;821;99;17;0;0;11;82;0;0;0;0;812;2;14;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Mathis Amougou;fr FRA;MT;Saint-Étienne;18-359;2006;8.0;213;205;6;3;1;1;1;1;0;0;0;0;166;2;3;Matchs
;Benjamin André;fr FRA;MT;Lille;34-161;1990;14.9;1001;965;32;30;0;10;9;2;0;0;0;0;821;4;11;Matchs
;Dennis Appiah;fr FRA;DF;Saint-Étienne;32-216;1992;12.3;570;455;112;8;2;2;28;104;0;0;0;0;425;3;24;Matchs
;Carlens Arcus;ht HAI;DF;Angers;28-197;1996;14.0;606;495;107;12;0;1;30;94;1;0;0;0;477;4;11;Matchs
;Hákon Arnar Haraldsson;is ISL;MT,AT;Lille;21-276;2003;5.8;320;309;11;3;0;2;6;3;4;2;1;0;259;0;7;Matchs
;Marco Asensio;es ESP;AT,MT;Paris S-G;28-356;1996;6.8;329;309;18;2;4;1;12;3;5;1;0;0;285;2;7;Matchs
;Lorenz Assignon;tg TOG;DF,MT;Rennes;24-203;2000;10.5;544;435;108;10;1;1;21;97;1;0;0;0;435;1;12;Matchs
;Dehmaine Assoumani;fr FRA;MT,AT;Nantes;19-269;2005;0.4;31;28;3;1;0;0;4;1;0;0;0;0;28;0;0;Matchs
;Valentin Atangana Edoa;fr FRA;MT;Reims;19-139;2005;14.7;548;542;6;6;2;0;13;0;0;0;0;0;481;0;10;Matchs
;Florian Ayé;fr FRA;AT;Auxerre;27-358;1997;3.5;75;70;5;0;0;0;1;0;0;0;0;0;58;0;1;Matchs
;André Ayew;gh GHA;AT;Le Havre;35-025;1989;6.6;119;102;17;1;0;0;1;0;0;0;0;0;92;0;5;Matchs
;Neil El Aynaoui;fr FRA;MT;Lens;23-193;2001;3.2;159;152;7;3;1;0;3;1;0;0;0;0;138;0;3;Matchs
;Shavy Babicka;ga GAB;MT,AT;Toulouse;24-224;2000;5.8;139;137;2;0;1;2;18;1;0;0;0;0;95;0;5;Matchs
;Theo Bair;ca CAN;AT;Auxerre;25-137;1999;4.7;115;108;7;0;0;1;4;1;0;0;0;0;73;0;4;Matchs
;Mitchel Bakker;nl NED;DF,AT;Lille;24-205;2000;4.3;242;219;23;1;0;0;19;20;2;1;1;0;195;0;5;Matchs
;Darryl Bakola;fr FRA;DF;Marseille;17-042;2007;0.1;10;10;0;0;0;0;0;0;0;0;0;0;9;0;0;Matchs
;Dilane Bakwa;fr FRA;MT,AT;Strasbourg;22-138;2002;15.5;583;502;78;31;6;10;73;20;27;11;14;0;428;3;13;Matchs
;Leonardo Balerdi;ar ARG;DF;Marseille;25-351;1999;12.0;1216;1182;32;23;1;4;0;1;0;0;0;0;1146;2;5;Matchs
;Folarin Balogun;us USA;AT;Monaco;23-192;2001;5.2;94;89;4;0;0;0;3;1;0;0;0;0;64;1;4;Matchs
;Abdoulaye Bamba;ci CIV;DF;Angers;34-261;1990;6.8;264;251;13;6;1;0;1;7;0;0;0;0;230;0;4;Matchs
;Mohamed Bamba;ci CIV;MT;Reims;20-095;2004;0.0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Bradley Barcola;fr FRA;AT;Paris S-G;22-131;2002;11.7;416;406;8;4;2;1;13;4;0;0;0;0;344;2;14;Matchs
;Melvin Bard;fr FRA;DF,MT;Nice;24-066;2000;7.5;367;304;60;6;4;0;21;53;0;0;0;0;268;3;9;Matchs
;Gabriel Bares;ch SUI;MT,DF;Montpellier;24-135;2000;0.6;40;39;1;1;0;0;1;0;0;0;0;0;34;0;0;Matchs
;Dylan Batubinsika;cd COD;DF;Saint-Étienne;28-331;1996;14.6;723;702;18;15;1;0;0;3;0;0;0;0;646;3;4;Matchs
