Clt;Buts / Joueur;Attendu / Nation;Dégagement / Pos;Passes / Équipe;Dégagements au six mètres / Âge;Centres / Naissance;Libéro / 90;BE;Pc;CF;Co;CSC;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Tentatives cadrées (GB);Lanc;% de lancement;LongMoy;Att;% de lancement;LongMoy;Adv;Stp;Stp%;#ESR;#ESR/90;DistMoy;Matchs
Dimitry Bertaud;cd COD;GB;Montpellier;26-221;1998;3.0;8;1;0;0;0;6.3;0.36;-1.7;-0.56;18;42;42.9;66;14;42.4;36.5;25;56.0;44.8;43;8;18.6;2;0.67;12.8;Matchs
Marco Bizot;nl NED;GB;Brest;33-309;1991;16.0;29;5;1;1;1;23.6;0.29;-4.4;-0.28;116;273;42.5;439;61;45.3;37.4;102;72.5;52.7;209;14;6.7;16;1.00;14.7;Matchs
Marcin Bułka;pl POL;GB;Nice;25-101;1999;17.0;23;2;0;2;1;24.2;0.27;+2.2;+0.13;50;144;34.7;489;85;21.9;28.3;88;42.0;34.6;246;17;6.9;13;0.76;11.1;Matchs
Patrik Carlgren;se SWE;GB;Nantes;33-005;1992;3.0;5;0;0;0;0;6.1;0.29;+1.1;+0.35;14;37;37.8;69;21;27.5;30.5;23;78.3;50.7;54;1;1.9;1;0.33;12.8;Matchs
Lucas Chevalier;fr FRA;GB;Lille;23-068;2001;17.0;16;2;0;1;0;18.1;0.27;+2.1;+0.12;62;162;38.3;464;58;30.6;30.7;60;33.3;36.4;182;11;6.0;10;0.59;14.2;Matchs
Grégoire Coudert;fr FRA;GB;Brest;25-285;1999;1.0;1;0;0;1;0;0.9;0.13;-0.1;-0.07;3;12;25.0;34;3;26.5;31.1;4;75.0;52.8;22;1;4.5;1;1.00;11.7;Matchs
Théo De Percin;mq MTQ;GB;Auxerre;23-346;2001;2.0;3;1;0;0;0;3.5;0.22;+0.5;+0.23;8;31;25.8;46;5;45.7;40.3;12;83.3;55.3;38;3;7.9;3;1.50;13.1;Matchs
Arthur Desmas;fr FRA;GB;Le Havre;30-281;1994;17.0;36;2;1;3;0;37.2;0.39;+1.2;+0.07;54;149;36.2;382;68;29.8;31.5;112;31.3;29.9;261;12;4.6;6;0.35;11.3;Matchs
Yehvann Diouf;fr FRA;GB;Reims;25-058;1999;17.0;25;2;0;3;0;30.7;0.33;+5.7;+0.34;76;237;32.1;540;66;33.3;32.7;91;62.6;44.7;225;9;4.0;14;0.82;13.7;Matchs
Álex Domínguez;es ESP;GB;Toulouse;26-167;1998;0.2;0;0;0;0;0;0.0;;0.0;0.00;2;5;40.0;8;1;25.0;30.0;3;100.0;69.3;7;0;0.0;0;0.00;;Matchs
