Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Keyliane Abdallah;fr FRA;AT;Marseille;18-281;2006;0.0;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Yunis Abdelhamid;ma MAR;DF;Saint-Étienne;37-105;1987;10.4;17;11;15;2;0;10;16;62.5;6;22;15;7;12;29;54;1;Matchs
;Himad Abdelli;dz ALG;MT,AT;Angers;25-055;1999;15.8;25;17;7;10;8;8;24;33.3;16;8;0;8;12;37;13;1;Matchs
;Mohamed Abdelmoneim;eg EGY;DF;Nice;25-345;1999;6.8;17;12;11;5;1;11;18;61.1;7;6;3;3;13;30;39;1;Matchs
;Ali Abdi;tn TUN;DF,MT;Nice;31-022;1993;6.5;16;10;7;4;5;14;21;66.7;7;13;3;10;3;19;13;0;Matchs
;Matthis Abline;fr FRA;AT;Nantes;21-289;2003;14.6;6;3;2;2;2;1;6;16.7;5;3;0;3;2;8;22;1;Matchs
;Abner;br BRA;DF;Lyon;24-229;2000;8.3;18;13;7;8;3;13;20;65.0;7;11;1;10;5;23;30;0;Matchs
;Zakaria Aboukhlal;ma MAR;MT,AT;Toulouse;24-328;2000;13.9;14;8;6;5;3;4;14;28.6;10;10;0;10;6;20;5;0;Matchs
;Akor Adams;ng NGA;AT;Montpellier;24-348;2000;10.9;4;3;1;2;1;3;4;75.0;1;2;1;1;1;5;4;1;Matchs
;Martin Adeline;fr FRA;MT;Reims;21-040;2003;0.3;1;1;0;1;0;1;2;50.0;1;0;0;0;0;1;2;0;Matchs
;Adryelson;br BRA;DF;Lyon;26-294;1998;0.0;0;0;0;0;0;0;0;;0;0;0;0;1;1;1;0;Matchs
;Emmanuel Agbadou;ci CIV;DF;Reims;27-208;1997;14.0;25;17;19;3;3;19;26;73.1;7;22;13;9;19;44;64;1;Matchs
;Ruben Aguilar;fr FRA;DF;Lens;31-260;1993;3.0;9;6;5;4;0;7;9;77.8;2;5;1;4;5;14;2;0;Matchs
;Jean-Eudes Aholou;ci CIV;MT;Angers;30-297;1994;13.0;35;22;17;10;8;16;28;57.1;12;22;11;11;27;62;13;0;Matchs
;Ayman Aiki;fr FRA;AT,MT;Saint-Étienne;19-200;2005;1.4;3;3;1;2;0;1;1;100.0;0;1;0;1;1;4;0;0;Matchs
;Ludovic Ajorque;fr FRA;AT;Brest;30-321;1994;11.6;12;9;1;5;6;4;12;33.3;8;5;2;3;3;15;8;0;Matchs
