Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
1;Keyliane Abdallah;fr FRA;AT;Marseille;18-281;2006;0.0;2;2;100.0;41;0;0;0;;2;2;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
2;Yunis Abdelhamid;ma MAR;DF;Saint-Étienne;37-105;1987;10.4;421;484;87.0;7651;2333;141;152;92.8;253;275;92.0;22;47;46.8;0;0.0;0.0;0.0;1;27;0;0;22;Matchs
3;Himad Abdelli;dz ALG;MT,AT;Angers;25-055;1999;15.8;733;906;80.9;11125;3139;400;456;87.7;269;315;85.4;39;87;44.8;1;2.2;2.0;-1.2;23;81;21;0;108;Matchs
4;Mohamed Abdelmoneim;eg EGY;DF;Nice;25-345;1999;6.8;287;328;87.5;5250;1656;105;115;91.3;156;171;91.2;19;32;59.4;0;0.0;0.1;0.0;0;15;1;0;26;Matchs
5;Ali Abdi;tn TUN;DF,MT;Nice;31-022;1993;6.5;202;280;72.1;3131;1127;103;128;80.5;80;105;76.2;11;26;42.3;2;1.2;1.0;+0.8;10;7;8;2;16;Matchs
6;Matthis Abline;fr FRA;AT;Nantes;21-289;2003;14.6;188;259;72.6;2813;462;97;125;77.6;64;81;79.0;13;20;65.0;0;1.7;2.0;-1.7;12;12;9;1;27;Matchs
7;Abner;br BRA;DF;Lyon;24-229;2000;8.3;367;446;82.3;5357;2334;211;234;90.2;122;146;83.6;21;35;60.0;0;0.4;1.5;-0.4;7;29;7;1;43;Matchs
8;Zakaria Aboukhlal;ma MAR;MT,AT;Toulouse;24-328;2000;13.9;152;243;62.6;1968;567;96;130;73.8;45;76;59.2;3;7;42.9;2;1.3;1.4;+0.7;8;9;7;2;18;Matchs
9;Akor Adams;ng NGA;AT;Montpellier;24-348;2000;10.9;100;157;63.7;1321;162;65;87;74.7;28;43;65.1;2;9;22.2;1;1.0;0.1;0.0;12;6;0;0;5;Matchs
10;Martin Adeline;fr FRA;MT;Reims;21-040;2003;0.3;8;10;80.0;138;11;3;3;100.0;3;4;75.0;1;2;50.0;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
11;Adryelson;br BRA;DF;Lyon;26-294;1998;0.0;1;3;33.3;21;19;0;1;0.0;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
12;Emmanuel Agbadou;ci CIV;DF;Reims;27-208;1997;14.0;810;922;87.9;16521;6962;293;316;92.7;400;417;95.9;110;174;63.2;0;0.3;0.3;-0.3;8;71;4;1;77;Matchs
13;Ruben Aguilar;fr FRA;DF;Lens;31-260;1993;3.0;165;205;80.5;2217;886;106;117;90.6;40;57;70.2;9;12;75.0;1;0.7;0.6;+0.3;2;8;3;0;14;Matchs
14;Jean-Eudes Aholou;ci CIV;MT;Angers;30-297;1994;13.0;401;473;84.8;6380;1697;199;223;89.2;183;200;91.5;11;28;39.3;0;0.2;0.2;-0.2;5;26;3;0;45;Matchs
15;Ayman Aiki;fr FRA;AT,MT;Saint-Étienne;19-200;2005;1.4;17;29;58.6;234;93;12;17;70.6;4;7;57.1;1;3;33.3;0;0.0;0.0;0.0;1;2;1;0;5;Matchs
16;Ludovic Ajorque;fr FRA;AT;Brest;30-321;1994;11.6;205;290;70.7;2939;378;124;161;77.0;59;84;70.2;13;17;76.5;1;1.3;0.8;-0.3;17;17;5;0;16;Matchs
17;Ümit Akdag;ro ROU;DF;Toulouse;21-097;2003;2.5;111;149;74.5;1858;771;53;70;75.7;53;62;85.5;5;12;41.7;0;0.0;0.0;0.0;1;11;1;0;19;Matchs
18;Sergio Akieme;es ESP;DF;Reims;27-026;1997;12.8;385;491;78.4;5333;1440;235;254;92.5;131;168;78.0;9;42;21.4;1;0.8;1.0;+0.2;7;15;8;6;30;Matchs
19;Maghnes Akliouche;fr FRA;AT,MT;Monaco;22-321;2002;11.6;425;544;78.1;5758;1914;265;295;89.8;128;169;75.7;15;33;45.5;4;3.4;3.8;+0.6;22;37;23;1;76;Matchs
20;Clément Akpa;ci CIV;DF;Auxerre;23-048;2001;13.8;466;599;77.8;9247;3655;163;194;84.0;238;269;88.5;59;118;50.0;0;0.4;0.5;-0.4;7;37;10;5;45;Matchs
21;Mohamed Ali Cho;fr FRA;AT,MT;Nice;20-358;2004;8.8;163;239;68.2;2263;588;102;125;81.6;50;72;69.4;6;19;31.6;1;2.2;1.8;-1.2;15;7;14;1;26;Matchs
22;Jim Allevinah;ga GAB;AT;Angers;29-319;1995;9.0;162;217;74.7;2277;522;97;116;83.6;54;74;73.0;6;12;50.0;2;1.2;0.6;+0.8;7;13;8;1;31;Matchs
23;Jordan Amavi;fr FRA;DF;Brest;30-308;1994;8.3;368;503;73.2;5964;2134;174;206;84.5;165;224;73.7;21;48;43.8;0;0.2;0.2;-0.2;6;27;4;0;32;Matchs
24;Kelvin Amian;fr FRA;DF,MT;Nantes;26-338;1998;11.9;373;453;82.3;5810;2418;199;215;92.6;134;158;84.8;26;50;52.0;0;0.4;0.9;-0.4;8;26;12;5;36;Matchs
