,Performance,Duels aériens,,Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,90,CJ,CR,2CrtJ,Fte,Ftp,HJ,Ctr,Int,TclR,Préussi,Pcon,CSC,Récupération,Gagnés,Perdus,% gagnés,Matchs
Keyliane Abdallah,fr FRA,AT,Marseille,18-276,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matchs
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-100,1987,10.4,2,0,0,16,6,0,0,12,11,0,0,0,38,19,8,70.4,Matchs
Himad Abdelli,dz ALG,MT,AT,Angers,25-050,1999,15.8,1,0,0,23,17,2,31,12,17,0,0,0,87,8,12,40.0,Matchs
Mohamed Abdelmoneim,eg EGY,DF,Nice,25-340,1999,6.8,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,Matchs
Ali Abdi,tn TUN,DF,MT,Nice,31-017,1993,6.5,1,0,0,10,3,1,17,3,10,0,0,0,34,9,7,56.3,Matchs
Matthis Abline,fr FRA,AT,Nantes,21-284,2003,13.6,1,0,0,13,19,2,15,2,3,0,0,0,36,21,24,46.7,Matchs
Abner,br BRA,DF,Lyon,24-224,2000,8.3,1,0,0,11,3,0,22,5,13,0,0,0,33,5,6,45.5,Matchs
Zakaria Aboukhlal,ma MAR,MT,AT,Toulouse,24-323,2000,13.9,3,0,0,26,13,4,24,6,8,1,0,0,37,17,22,43.6,Matchs
Akor Adams,ng NGA,AT,Montpellier,24-343,2000,10.9,2,0,0,17,7,15,4,1,3,1,0,0,22,25,23,52.1,Matchs
Martin Adeline,fr FRA,MT,Reims,21-035,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matchs
Adryelson,br BRA,DF,Lyon,26-289,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matchs
Emmanuel Agbadou,ci CIV,DF,Reims,27-203,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,Matchs
Ruben Aguilar,fr FRA,DF,Lens,31-255,1993,3.0,1,0,0,5,2,1,9,5,6,0,0,0,21,2,2,50.0,Matchs
Jean-Eudes Aholou,ci CIV,MT,Angers,30-292,1994,13.0,3,0,0,26,13,1,2,27,22,0,0,0,68,21,14,60.0,Matchs
Ayman Aiki,fr FRA,AT,MT,Saint-Étienne,19-195,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,Matchs
Ludovic Ajorque,fr FRA,AT,Brest,30-316,1994,11.6,3,0,0,26,13,7,2,3,9,2,0,0,25,59,49,54.6,Matchs
Ümit Akdag,ro ROU,DF,Toulouse,21-092,2003,2.5,0,0,0,5,0,0,1,10,2,0,0,0,15,14,3,82.4,Matchs
Sergio Akieme,es ESP,DF,Reims,27-021,1997,12.8,1,0,0,14,9,0,40,9,12,0,0,0,45,13,13,50.0,Matchs
Maghnes Akliouche,fr FRA,AT,MT,Monaco,22-316,2002,11.6,0,0,0,13,16,5,29,8,16,0,0,0,69,2,6,25.0,Matchs
Clément Akpa,ci CIV,DF,Auxerre,23-043,2001,12.8,3,0,0,4,17,0,22,16,18,0,1,0,68,15,15,50.0,Matchs
Mohamed Ali Cho,fr FRA,AT,MT,Nice,20-353,2004,8.8,1,0,0,7,23,8,27,1,3,0,0,0,36,6,13,31.6,Matchs
Jim Allevinah,ga GAB,AT,Angers,29-314,1995,9.0,2,0,0,8,14,4,14,4,6,0,0,0,34,7,10,41.2,Matchs
Jordan Amavi,fr FRA,DF,Brest,30-303,1994,8.3,2,0,0,15,6,0,14,7,17,0,2,0,33,15,6,71.4,Matchs
Kelvin Amian,fr FRA,DF,MT,Nantes,26-333,1998,10.9,1,0,0,14,3,0,17,2,17,0,0,0,32,9,7,56.3,Matchs
